payment_installments,payment_type,customer_state,freight_value,price
1,credit_card,SP,8.72,29.99
1,voucher,SP,8.72,29.99
1,voucher,SP,8.72,29.99
1,boleto,BA,22.76,118.7
3,credit_card,GO,19.22,159.9
1,credit_card,RN,27.2,45.0
1,credit_card,SP,8.72,19.9
6,credit_card,PR,27.36,147.9
1,credit_card,RS,16.05,49.9
3,credit_card,RJ,15.17,59.99
1,boleto,RS,16.05,19.9
1,voucher,SP,19.77,149.99
1,credit_card,SP,19.77,149.99
1,credit_card,RJ,30.53,99.0
1,credit_card,RJ,30.53,99.0
1,credit_card,SP,16.13,98.0
1,boleto,MG,18.23,31.9
3,credit_card,SP,12.8,19.9
1,credit_card,SP,16.11,38.25
10,credit_card,GO,14.05,132.4
10,credit_card,RJ,77.45,1299.0
4,credit_card,SC,15.1,27.99
1,credit_card,SP,11.85,17.9
1,voucher,BA,16.97,76.0
1,voucher,BA,16.97,76.0
1,credit_card,BA,16.97,76.0
1,boleto,SP,8.96,109.9
4,credit_card,SP,8.91,79.99
1,credit_card,SP,7.78,9.5
3,credit_card,SC,57.58,129.99
1,boleto,SP,14.21,89.9
1,boleto,RJ,15.53,109.9
10,credit_card,BA,48.64,90.9
10,credit_card,BA,48.64,39.5
2,credit_card,SP,12.79,47.9
8,credit_card,SP,13.69,178.99
3,credit_card,RR,33.24,30.1
1,boleto,SP,34.19,279.0
4,credit_card,PE,38.0,186.9
1,credit_card,SP,14.1,49.0
1,credit_card,RJ,15.35,84.9
2,credit_card,SP,9.41,179.0
4,credit_card,TO,28.95,78.0
1,boleto,CE,26.89,39.9
1,boleto,SP,15.1,27.9
1,boleto,PE,63.17,445.0
4,credit_card,SP,12.79,36.9
4,credit_card,RJ,34.2,119.99
10,credit_card,SP,17.12,339.0
9,credit_card,DF,25.77,69.9
1,debit_card,BA,22.62,99.0
1,boleto,SP,7.87,14.49
7,credit_card,RJ,14.72,139.0
1,credit_card,BA,17.92,36.9
5,credit_card,SP,12.43,69.9
1,credit_card,RS,18.34,33.9
1,boleto,SP,15.56,115.0
1,boleto,SP,13.37,39.47
1,boleto,PR,18.47,53.44
2,credit_card,RS,15.52,60.0
2,credit_card,RS,15.52,60.0
10,credit_card,RJ,17.33,369.0
1,credit_card,SP,11.85,38.4
3,credit_card,RJ,8.78,119.9
1,credit_card,SP,13.47,29.99
9,credit_card,SE,22.85,22.99
9,credit_card,SE,22.85,22.99
1,boleto,SP,14.36,84.9
1,boleto,SP,28.15,113.0
1,boleto,SP,11.76,79.9
1,credit_card,DF,13.76,39.9
9,credit_card,RJ,18.34,299.0
1,boleto,MG,15.1,27.9
3,credit_card,MG,24.97,119.0
3,credit_card,MG,3.12,199.0
4,credit_card,BA,82.48,329.9
4,credit_card,BA,82.48,329.9
1,credit_card,MG,15.1,24.89
3,credit_card,SP,13.25,84.9
3,credit_card,SP,13.25,84.9
3,credit_card,SP,13.25,84.9
3,credit_card,SP,13.25,84.9
1,boleto,SP,12.03,42.99
1,debit_card,SC,18.3,27.9
1,credit_card,SP,9.34,50.0
1,credit_card,SP,19.41,190.0
4,credit_card,SP,14.1,42.9
1,boleto,MG,14.66,69.9
1,boleto,PR,15.56,38.0
1,boleto,PR,15.56,38.0
1,boleto,PR,15.56,38.0
1,boleto,PR,15.56,38.0
1,boleto,PR,15.56,38.0
5,credit_card,MT,15.84,56.99
5,credit_card,MT,15.84,56.99
1,boleto,SP,12.84,24.99
1,voucher,RS,15.28,219.0
1,credit_card,RS,15.28,219.0
1,boleto,SP,7.91,93.0
1,boleto,SP,7.91,93.0
2,credit_card,SP,7.78,19.99
1,boleto,DF,14.1,45.0
1,credit_card,MG,8.78,58.2
3,credit_card,RS,21.27,110.99
5,credit_card,PB,24.84,38.5
1,boleto,BA,51.13,179.99
1,boleto,SP,30.36,544.0
2,credit_card,SC,15.1,14.82
1,boleto,SP,14.89,394.9
6,credit_card,SP,12.79,49.9
5,credit_card,MG,16.38,89.18
1,credit_card,SP,7.39,29.99
7,credit_card,PR,17.66,58.99
4,credit_card,MG,22.4,98.44
1,boleto,SC,18.79,219.9
8,credit_card,SP,13.08,759.0
1,credit_card,CE,37.37,65.9
2,credit_card,SP,12.79,10.9
5,credit_card,RJ,17.84,83.9
1,voucher,SP,10.96,17.9
1,credit_card,SP,10.96,17.9
2,credit_card,PR,18.57,99.2
2,credit_card,SP,12.14,160.0
3,credit_card,SP,12.69,29.9
1,boleto,SP,7.39,13.99
1,boleto,SC,15.35,35.0
8,credit_card,RS,18.5,535.9
1,credit_card,SP,26.11,69.9
6,credit_card,BA,20.0,589.9
1,credit_card,MG,15.1,27.3
1,boleto,MG,17.41,235.99
